reputation,up_votes,down_votes,num_badges,contributing_score,EFF_CLASS_NUM
1500,0,0,15,3.97,-1
54,9,0,12,0.13,1
85,2,0,6,0.5,-1
10,0,0,3,0.0,1
52,11,0,7,0.18,-1
1241,21,0,24,3.5,-1
71,2,0,4,0.67,-1
130,18,0,15,0.42,1
17,1,0,5,0.0,-1
431,32,1,19,0.65,1
81,3,0,3,2.0,-1
80,11,0,12,0.36,1
79,15,0,20,0.23,-1
327,87,1,25,0.11,1
93,9,0,11,0.39,1
2615,9,1,37,1.72,1
355,84,47,11,0.4,-1
623,145,46,21,0.72,-1
23,0,0,8,0.2,1
22,2,0,8,-0.1,1
1700,85,0,32,0.7,-1
23,1,0,7,0.75,1
7905,947,64,132,2.48,0
364,12,10,20,0.36,-1
23,6,0,4,0.6,-1
88,62,0,13,0.52,-1
67,4,0,13,0.18,-1
22,11,0,8,0.06,1
5011,8,0,15,94.6,-1
18,2,0,9,0.18,1
947,30,8,26,0.27,0
816,56,2,18,0.95,1
179,1,0,8,1.5,-1
